idnum,Country,Name,height,res_area,res_cap,lat,lon,ELEV_MASL,airtempcld,airtempwrm,koppen,POWER_KW,TYPE,maxcontour
154,Peru,Maranon,17.5,2,101.8802931,-9.575079855,-76.74551978,3009,8.946028181,7.30855351,1,88, , 
155,Peru,Yangas,100,0.2,13.73085677,-6.371888957,-78.36666996,1119,16.99323487,15.46408227,15,330, , 
156,Peru,Pion,90,17,974.138939,-6.187819375,-78.42074297,617,20.02577591,17.85264486,15,350, , 
157,Peru,Chusgon,105,25,1026.912271,-7.406970487,-77.78726128,1084,14.63670246,13.9778896,3,240, , 
158,Peru,Pataz 2,100,17,879.2087916,-7.565972979,-77.69813743,1161,14.98965988,14.45614421,3,240, , 
159,Peru,Pataz 1,90,4,124.7861089,-7.864338236,-77.62474127,1438,12.25219077,11.40305098,3,320, , 
160,Peru,San Pablo,73,9,235.1702044,-8.370083599,-77.44558661,1633,10.92243347,9.911362712,2,390, , 
161,Peru,Pulperia,88,8,283.7624216,-8.60005559,-77.29049066,1871,11.50354556,10.62849905,1,220, , 
162,Peru,Puchka,175,6,1125.585779,-9.090073503,-76.90464604,2371,11.26414749,9.936737276,1,140, , 
163,Peru,Balsas,210,56,4159.231832,-6.811130779,-78.01663113,873,13.45508874,13.02565782,15,350, , 
164,Peru,Llata 1,120,9,542.6742328,-9.400037349,-76.78302284,2832,9.797486877,8.111436971,1,210, , 
165,Peru,Del Norte,210,37,2517.856733,-6.363900907,-78.308868,721,17.07203104,15.64778201,15,600, , 
166,Peru,Rentema,203,874,69979.70387,-5.318129701,-78.44293702,361,22.42451477,20.82145386,3,1525, , 
167,Peru,Escurrebraga,195,875,67395.62442,-4.777058108,-78.24960524,241,23.77163334,22.50821037,2,1800, , 
168,Peru,Lavasen Quishuar,15,0.2,4.421251899,-7.60008723,-77.68533231,1392,14.98965988,14.45614421,3,64, , 
169,Peru,Bolivar,130,56,3562.8189,-7.117376646,-77.92872354,1010,12.94595403,12.05848912,15,290, , 
170,Peru,Rupac,159,15,835.1456124,-8.511172176,-77.36064788,1859,11.31689561,10.45544761,1,300, , 
171,Peru,Yanamayo,111,16,676.8173174,-8.822374139,-77.1901564,1944,11.53141971,10.41036137,1,160, , 
172,Peru,Llata 2,71,2,340.2900319,-9.185699798,-76.75285156,2626,10.22391379,8.504480184,1,200, , 
173,Peru,Santa Rosa,70,9,227.380077,-6.715651351,-78.0391425,861,13.83028761,13.32224717,15,340, , 
174,Peru,Manseriche,126,5470,742000,-4.461246454,-77.57806872,162,25.45969823,24.40554734,1,4500, , 

